Theme parameters supported by the functions

ThemeLayout_GetParameter, ThemeLayout_SetParameter


v5


idx   	   retval                           desc                                      value  defValue  minValue  maxValue
100   LayoutC-tcpFxembedLocation         Layout C - Embedded FX Section                  5         5         0         9
101   LayoutC-tcpFxparmPin               Layout C - FX Parameters Pin                    0         0         0         1
102   LayoutC-tcpSendPin                 Layout C - Send List Pin                        0         0         0         1
103   LayoutC-tcpFxPin                   Layout C - FX List Pin                          0         0         0         1
104   LayoutC-tcpFxembedPin              Layout C - Embedded FX Pin                      0         0         0         1
105   LayoutC-tcpFxparmVisflag1          Layout C - tcpFxparmVisflag1                    1         1        -1         1
106   LayoutC-tcpFxparmVisflag2          Layout C - tcpFxparmVisflag2                    1         1        -1         1
107   LayoutC-tcpSectionBottomDiv        Layout C - tcpSectionBottomDiv                  2         2         1         3
108   LayoutC-sectionLeftW               Layout C - Left Section Width                  75        75        46       400
109   LayoutC-sectionRightW              Layout C - Right Section Width                 75        75        46       400
110   LayoutC-tcpLabelLength             Layout C - TCP Label Length                   140       140        40       500
111   LayoutC-tcpLabelSize               Layout C - TCP Label Font Size                  4         4         1         5
112   LayoutC-tcpVolumeLength            Layout C - TCP Volume Length                  140       140        40       300
113   LayoutC-tcpInputFontSize           Layout C - TCP Input Font Size                  1         1         1         5
114   LayoutC-tcpRecinputLength          Layout C - TCP Input Length                   140       140        40       400
115   LayoutC-tcpMeterWidth              Layout C - TCP Meter Width                    100       100        10       300
116   LayoutC-tcpMeterBorder             Layout C - TCP Meter Border                     2         2         0         8
117   LayoutC-hideTcpLabelBlock          Layout C - Visflag Track Label Block            0         0         0        15
118   LayoutC-hideTcpRecmon              Layout C - Visflag Track Recmon                 4         4         0        15
119   LayoutC-hideTcpMSBlock             Layout C - Visflag Track MS Block               0         0         0        15
120   LayoutC-hideTcpIo                  Layout C - Visflag Track Io                     0         0         0        15
121   LayoutC-hideTcpFxBlock             Layout C - Visflag Track Fx Block               0         0         0        15
122   LayoutC-hideTcpPanBlock            Layout C - Visflag Track Pan Block              1         1         0        15
123   LayoutC-hideTcpRecmode             Layout C - Visflag Track Recmode                4         4         0        15
124   LayoutC-hideTcpInputBlock          Layout C - Visflag Track Input Block            0         0         0        15
125   LayoutC-hideTcpEnv                 Layout C - Visflag Track Env                    1         1         0        15
126   LayoutC-hideTcpPhase               Layout C - Visflag Track Phase                  1         1         0        15
127   LayoutC-hideTcpLabelsValues        Layout C - Visflag Track Labels and Values      8         8         0        15
128   LayoutC-hideTcpMeterValues         Layout C - Visflag Track Meter Values           0         0         0        15
129   masterTcpMeterWidth                Master TCP Meter Width                        100       100        10       600
130   masterTcpMeterBorder               Master TCP Meter Border                         2         2         0         8
131   masterTcpMeterVals                 Master TCP Meter Values                         1         1         0         1
132   masterTcpVals                      Master TCP Values                               1         1         0         1
133   masterTcpLabels                    Master TCP Labels                               1         1         0         1
134   masterTcpBgColR                    Master TCP background colour                   51        51         0       255
135   masterTcpBgColG                    Master TCP background colour G                 51        51         0       255
136   masterTcpBgColB                    Master TCP background colour B                 51        51         0       255
137   masterTcpVolumeLength              Master TCP Volume Length                       40        40        40       600
138   indentEnvcp                        Env inherit track indent                        1         1         0         1
139   showEnvValue                       Show envelope value                             1         1         0         1
140   envcpLabelLength                   Env Label Length                              160       160        40       500
141   envcpFaderLength                   Env Fader Length                              100       100        40       300
142   envcpFontSize                      Env Label Font Size                             2         2         1         5
143   envcpDivOpacity                    Env Div Opacity                                80        80         0       255
144   envcpBgColR                        EnvCP background colour                        51        51         0       255
145   envcpBgColG                        EnvCP background colour G                      51        51         0       255
146   envcpBgColB                        EnvCP background colour B                      51        51         0       255
147   envCustomColorDepth                Env Custom Color Strength                       0         0         0       100
148   mcpfolderIndentSize                MCP Folder Indent                              10        10         0        40
149   mcpDivOpacity                      MCP Div Opacity                                80        80         0       255
150   mcpBgColR                          MCP background colour                         129       129         0       255
151   mcpBgColG                          MCP background colour G                       137       137         0       255
152   mcpBgColB                          MCP background colour B                       137       137         0       255
153   mcpfolderBalanceType               MCP Folder Balance Type                         0         0         0         1
154   mcpStripFlowLocation1              MCP Strip flow location 1                       1         1         1        11
155   mcpStripFlowLocation2              MCP Strip flow location 2                       6         6         1        11
156   mcpStripFlowLocation3              MCP Strip flow location 3                      11        11         1        11
157   mcpStripFlowLocation4              MCP Strip flow location 4                       2         2         1        11
158   mcpStripFlowLocation5              MCP Strip flow location 5                       3         3         1        11
159   mcpStripFlowLocation6              MCP Strip flow location 6                       4         4         1        11
160   mcpStripFlowLocation7              MCP Strip flow location 7                       5         5         1        11
161   mcpStripFlowLocation8              MCP Strip flow location 8                       8         8         1        11
162   mcpStripFlowLocation9              MCP Strip flow location 9                       7         7         1        11
163   mcpStripFlowLocation10             MCP Strip flow location 10                      9         9         1        11
164   mcpStripFlowLocation11             MCP Strip flow location 11                     10        10         1        11
165   LayoutA-verboseMcp                 Layout A - Verbose MCP                          0         0         0         1
166   LayoutA-mcpMeterReadout            Layout A - mcpMeterReadout                      1         1         0         1
